,Страна,Регион,Численность,Площадь (sq. mi.),Плотность населения (per sq. mi.),Длина побережья к общей площади,Миграция,Детская смертность,ВВП на душу населения,Грамотность(%),Телефонов (на 1000),пахотные земли (%), земель под посевы(%),других земель (%),Рождаемость,Смертность,С/Х в ВВП,Промышленность в ВВП,Услуг в ВВП,Численность в млн,Площадь(кв.км),Плотность населения(на кв.км)
10,Aruba,Латинская Америка,71891,193,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,11.03,6.68,0.0,0.33,0.66,7.1891e-05,499.86999999999995,964.775
11,Australia,ОКЕАНИЯ,20264082,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,12.14,7.51,0.04,0.26,0.7,0.020264082,19908941.5,6.734
12,Austria,Западная Европа,8192880,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,8.74,9.76,0.02,0.3,0.68,0.00819288,217223.3,253.043
13,Azerbaijan,ex-USSR,7961619,86600,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,20.74,9.75,0.14,0.46,0.4,0.007961619,224294.0,238.02100000000002
14,"Bahamas, The",Латинская Америка,303770,13940,21.8,25.41,-2.2,25.21,16700.0,95.6,460.6,0.8,0.4,98.8,17.57,9.05,0.03,0.07,0.9,0.00030377,36104.6,56.461999999999996
15,Bahrain,Ближний Восток,698585,665,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,2.82,5.63,91.55,17.8,4.14,0.0,0.39,0.61,0.000698585,1722.35,2720.795
16,Bangladesh,Азия,147365352,144000,1023.4,0.4,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,29.8,8.27,0.2,0.2,0.6,0.147365352,372960.0,2650.6059999999998
17,Barbados,Латинская Америка,279912,431,649.5,22.51,-0.31,12.5,15700.0,97.4,481.9,37.21,2.33,60.46,12.71,8.67,0.06,0.16,0.78,0.000279912,1116.29,1682.205
18,Belarus,ex-USSR,10293011,207600,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,29.55,0.6,69.85,11.16,14.02,0.09,0.32,0.59,0.010293011,537684.0,128.464
19,Belgium,Западная Европа,10379067,30528,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,10.38,10.27,0.01,0.24,0.75,0.010379067,79067.51999999999,880.5999999999999
20,Belize,Латинская Америка,287730,22966,12.5,1.68,0.0,25.69,4900.0,94.1,115.7,2.85,1.71,95.44,28.84,5.72,0.14,0.15,0.61,0.00028773,59481.939999999995,32.375
21,Benin,Южная Африка,7862944,112620,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,38.85,12.22,0.32,0.14,0.55,0.007862944,291685.8,180.78199999999998
22,Bermuda,Северная Америка,65773,53,1241.0,194.34,2.49,8.53,36000.0,98.0,851.4,20.0,0.0,80.0,11.4,7.74,0.01,0.1,0.89,6.5773e-05,137.26999999999998,3214.1899999999996
23,Bhutan,Азия,2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,33.65,12.7,0.26,0.38,0.36,0.002279723,121730.0,125.615
24,Bolivia,Латинская Америка,8989046,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,23.3,7.53,0.13,0.35,0.52,0.008989046,2845322.1999999997,21.237999999999996
25,Bosnia & Herzegovina,ВОСТОЧНАЯ ЕВРОПА,4498976,51129,88.0,0.04,0.31,21.05,6100.0,,215.4,13.6,2.96,83.44,8.77,8.27,0.14,0.31,0.55,0.004498976,132424.11,227.92
26,Botswana,Южная Африка,1639833,600370,2.7,0.0,0.0,54.58,9000.0,79.8,80.5,0.65,0.01,99.34,23.08,29.5,0.02,0.47,0.51,0.001639833,1554958.2999999998,6.993
27,Brazil,Латинская Америка,188078227,8511965,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,16.56,6.17,0.08,0.4,0.52,0.188078227,22045989.349999998,57.239
28,British Virgin Is.,Латинская Америка,23098,153,151.0,52.29,10.01,18.05,16000.0,97.8,506.5,20.0,6.67,73.33,14.89,4.42,0.02,0.06,0.92,2.3098e-05,396.27,391.09
29,Brunei,Азия,379444,5770,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.57,0.76,98.67,18.79,3.45,0.04,0.56,0.4,0.000379444,14944.3,170.422
30,Bulgaria,ВОСТОЧНАЯ ЕВРОПА,7385367,110910,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,40.02,1.92,58.06,9.65,14.27,0.09,0.3,0.6,0.007385367,287256.89999999997,172.49399999999997
31,Burkina Faso,Южная Африка,13902972,274200,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,14.43,0.19,85.38,45.62,15.6,0.32,0.2,0.48,0.013902972,710178.0,131.313
32,Burma,Азия,47382633,678500,69.8,0.28,-1.8,67.24,1800.0,85.3,10.1,15.19,0.97,83.84,17.91,9.83,0.56,0.08,0.35,0.047382633,1757315.0,180.78199999999998
33,Burundi,Южная Африка,8090068,27830,290.7,0.0,-0.06,69.29,600.0,51.6,3.4,35.05,14.02,50.93,42.22,13.46,0.46,0.2,0.33,0.008090068,72079.7,752.9129999999999
34,Cambodia,Азия,13881427,181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,26.9,9.06,0.35,0.3,0.35,0.013881427,468893.6,198.653
35,Cameroon,Южная Африка,17340702,475440,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,33.89,13.47,0.45,0.17,0.38,0.017340702,1231389.5999999999,94.535
36,Canada,Северная Америка,33098932,9984670,3.3,2.02,5.96,4.75,29800.0,97.0,552.2,4.96,0.02,95.02,10.78,7.8,0.02,0.29,0.68,0.033098932,25860295.299999997,8.546999999999999
37,Cape Verde,Южная Африка,420979,4033,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,9.68,0.5,89.82,24.87,6.55,0.12,0.22,0.66,0.000420979,10445.47,270.396
38,Cayman Islands,Латинская Америка,45436,262,173.4,61.07,18.75,8.19,35000.0,98.0,836.3,3.85,0.0,96.15,12.74,4.89,0.01,0.03,0.95,4.5436e-05,678.5799999999999,449.106
39,Central African Rep.,Южная Африка,4303356,622984,6.9,0.0,0.0,91.0,1100.0,51.0,2.3,3.1,0.14,96.76,33.91,18.65,0.55,0.2,0.25,0.004303356,1613528.5599999998,17.871
40,Chad,Южная Африка,9944201,1284000,7.7,0.0,-0.11,93.82,1200.0,47.5,1.3,2.86,0.02,97.12,45.73,16.38,0.34,0.26,0.41,0.009944201,3325560.0,19.942999999999998
41,Chile,Латинская Америка,16134219,756950,21.3,0.85,0.0,8.8,9900.0,96.2,213.0,2.65,0.42,96.93,15.23,5.81,0.06,0.49,0.45,0.016134219,1960500.5,55.167
42,China,Азия,1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,13.25,6.97,0.12,0.47,0.4,1.313973713,24856126.4,354.57099999999997
43,Colombia,Латинская Америка,43593035,1138910,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,20.48,5.58,0.12,0.34,0.53,0.043593035,2949776.9,99.19699999999999
44,Comoros,Южная Африка,690948,2170,318.4,15.67,0.0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,36.93,8.2,0.4,0.04,0.56,0.000690948,5620.299999999999,824.656
45,"Congo, Dem. Rep.",Южная Африка,62660551,2345410,26.7,0.0,0.0,94.69,700.0,65.5,0.2,2.96,0.52,96.52,43.69,13.27,0.55,0.11,0.34,0.062660551,6074611.899999999,69.15299999999999
46,"Congo, Repub. of the",Южная Африка,3702314,342000,10.8,0.05,-0.17,93.86,700.0,83.8,3.7,0.51,0.13,99.36,42.57,12.93,0.06,0.57,0.37,0.003702314,885780.0,27.972
47,Cook Islands,ОКЕАНИЯ,21388,240,89.1,50.0,,,5000.0,95.0,289.9,17.39,13.04,69.57,21.0,,0.15,0.1,0.75,2.1388e-05,621.5999999999999,230.76899999999998
48,Costa Rica,Латинская Америка,4075261,51100,79.8,2.52,0.51,9.95,9100.0,96.0,340.7,4.41,5.88,89.71,18.32,4.36,0.09,0.3,0.61,0.004075261,132349.0,206.682
49,Cote d'Ivoire,Южная Африка,17654843,322460,54.8,0.16,-0.07,90.83,1400.0,50.9,14.6,9.75,13.84,76.41,35.11,14.84,0.28,0.17,0.55,0.017654843,835171.3999999999,141.932
50,Croatia,ВОСТОЧНАЯ ЕВРОПА,4494749,56542,79.5,10.32,1.58,6.84,10600.0,98.5,420.4,26.09,2.27,71.65,9.61,11.48,0.07,0.31,0.62,0.004494749,146443.78,205.905
51,Cuba,Латинская Америка,11382820,110860,102.7,3.37,-1.58,6.33,2900.0,97.0,74.7,33.05,7.6,59.35,11.89,7.22,0.06,0.26,0.68,0.01138282,287127.39999999997,265.993
52,Cyprus,Ближний Восток,784301,9250,84.8,7.01,0.43,7.18,19200.0,97.6,,7.79,4.44,87.77,12.56,7.68,0.04,0.2,0.76,0.000784301,23957.5,219.63199999999998
53,Czech Republic,ВОСТОЧНАЯ ЕВРОПА,10235455,78866,129.8,0.0,0.97,3.93,15700.0,99.9,314.3,39.8,3.05,57.15,9.02,10.59,0.03,0.39,0.57,0.010235455,204262.94,336.182
54,Denmark,Западная Европа,5450661,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,11.13,10.36,0.02,0.25,0.74,0.005450661,111613.45999999999,327.635
55,Djibouti,Южная Африка,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,39.53,19.31,0.18,0.22,0.6,0.00048653,59570.0,54.907999999999994
56,Dominica,Латинская Америка,68910,754,91.4,19.63,-13.87,14.15,5400.0,94.0,304.8,6.67,20.0,73.33,15.27,6.73,0.18,0.33,0.5,6.891e-05,1952.86,236.726
57,Dominican Republic,Латинская Америка,9183984,48730,188.5,2.64,-3.22,32.38,6000.0,84.7,97.4,22.65,10.33,67.02,23.22,5.73,0.11,0.31,0.58,0.009183984,126210.7,488.215
58,East Timor,Азия,1062777,15007,70.8,4.7,0.0,47.41,500.0,58.6,,4.71,0.67,94.62,26.99,6.24,0.08,0.23,0.68,0.001062777,38868.13,183.37199999999999
59,Ecuador,Латинская Америка,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,22.29,4.23,0.07,0.31,0.62,0.01354751,734420.3999999999,123.80199999999999
60,Egypt,СЕВЕРНАЯ АФРИКА,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,22.94,5.23,0.15,0.36,0.49,0.078887007,2593755.5,204.09199999999998
61,El Salvador,Латинская Америка,6822378,21040,324.3,1.46,-3.74,25.1,4800.0,80.2,142.4,31.85,12.07,56.08,26.61,5.78,0.1,0.3,0.6,0.006822378,54493.6,839.937
62,Equatorial Guinea,Южная Африка,540109,28051,19.3,1.06,0.0,85.13,2700.0,85.7,18.5,4.63,3.57,91.8,35.59,15.06,0.03,0.91,0.06,0.000540109,72652.09,49.987
63,Eritrea,Южная Африка,4786994,121320,39.5,1.84,0.0,74.87,700.0,58.6,7.9,4.95,0.03,95.02,34.33,9.6,0.1,0.25,0.64,0.004786994,314218.8,102.30499999999999
64,Estonia,Прибалтика,1324333,45226,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,16.04,0.45,83.51,10.04,13.25,0.04,0.29,0.67,0.001324333,117135.34,75.887
65,Ethiopia,Южная Африка,74777981,1127127,66.3,0.0,0.0,95.32,700.0,42.7,8.2,10.71,0.75,88.54,37.98,14.86,0.48,0.1,0.43,0.074777981,2919258.9299999997,171.71699999999998
66,Faroe Islands,Западная Европа,47246,1399,33.8,79.84,1.41,6.24,22000.0,,503.8,2.14,0.0,97.86,14.05,8.7,0.27,0.11,0.62,4.7246e-05,3623.41,87.54199999999999
67,Fiji,ОКЕАНИЯ,905949,18270,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,10.95,4.65,84.4,22.55,5.65,0.09,0.14,0.78,0.000905949,47319.299999999996,128.464
68,Finland,Западная Европа,5231372,338145,15.5,0.37,0.95,3.57,27400.0,100.0,405.3,7.19,0.03,92.78,10.45,9.86,0.03,0.3,0.68,0.005231372,875795.5499999999,40.144999999999996
69,France,Западная Европа,60876136,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,11.99,9.14,0.02,0.21,0.76,0.060876136,1416807.7,288.267
70,French Guiana,Латинская Америка,199509,91000,2.2,0.42,6.27,12.07,8300.0,83.0,255.6,0.14,0.05,99.81,20.46,4.88,0.07,0.16,0.78,0.000199509,235690.0,5.698
71,French Polynesia,ОКЕАНИЯ,274578,4167,65.9,60.6,2.94,8.44,17500.0,98.0,194.5,0.82,5.46,93.72,16.68,4.69,0.03,0.19,0.77,0.000274578,10792.529999999999,170.681
72,Gabon,Южная Африка,1424906,267667,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,36.16,12.25,0.06,0.59,0.35,0.001424906,693257.5299999999,13.726999999999999
73,"Gambia, The",Южная Африка,1641564,11300,145.3,0.71,1.57,72.02,1700.0,40.1,26.8,25.0,0.5,74.5,39.37,12.25,0.31,0.14,0.55,0.001641564,29267.0,376.327
74,Gaza Strip,Ближний Восток,1428757,360,3968.8,11.11,1.6,22.93,600.0,,244.3,28.95,21.05,50.0,39.45,3.8,0.03,0.28,0.69,0.001428757,932.4,10279.192
75,Georgia,ex-USSR,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,10.41,9.23,0.17,0.28,0.55,0.004661473,180523.0,173.27100000000002
76,Germany,Западная Европа,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,8.25,10.62,0.01,0.3,0.7,0.082422299,924684.3899999999,598.031
77,Ghana,Южная Африка,22409572,239460,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,30.52,9.72,0.37,0.25,0.39,0.022409572,620201.4,242.42399999999998
78,Gibraltar,Западная Европа,27928,7,3989.7,171.43,0.0,5.13,17500.0,,877.7,0.0,0.0,100.0,10.74,9.31,,,,2.7928e-05,18.13,10333.322999999999
79,Greece,Западная Европа,10688058,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,9.68,10.24,0.05,0.21,0.73,0.010688058,341724.6,209.79
80,Greenland,Северная Америка,56361,2166086,0.0,2.04,-8.37,15.82,20000.0,,448.9,0.0,0.0,100.0,15.93,7.84,,,,5.6361e-05,5610162.739999999,0.0
81,Grenada,Латинская Америка,89703,344,260.8,35.17,-13.92,14.62,5000.0,98.0,364.5,5.88,29.41,64.71,22.08,6.88,0.05,0.18,0.77,8.9703e-05,890.9599999999999,675.472
82,Guadeloupe,Латинская Америка,452776,1780,254.4,17.19,-0.15,8.6,8000.0,90.0,463.8,11.24,3.55,85.21,15.05,6.09,0.15,0.17,0.68,0.000452776,4610.2,658.896
83,Guam,ОКЕАНИЯ,171019,541,316.1,23.2,0.0,6.94,21000.0,99.0,492.0,9.09,16.36,74.55,18.79,4.48,,,,0.000171019,1401.1899999999998,818.6990000000001
84,Guatemala,Латинская Америка,12293545,108890,112.9,0.37,-1.67,35.93,4100.0,70.6,92.1,12.54,5.03,82.43,29.88,5.2,0.23,0.19,0.58,0.012293545,282025.1,292.411
85,Guernsey,Западная Европа,65409,78,838.6,64.1,3.84,4.71,20000.0,,842.4,,,,8.81,10.01,0.03,0.1,0.87,6.5409e-05,202.01999999999998,2171.974
86,Guinea,Южная Африка,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,41.76,15.48,0.24,0.36,0.4,0.009690222,636769.63,102.04599999999999
87,Guinea-Bissau,Южная Африка,1442029,36120,39.9,0.97,-1.57,107.17,800.0,42.4,7.4,10.67,8.82,80.51,37.22,16.53,0.62,0.12,0.26,0.001442029,93550.79999999999,103.341
88,Guyana,Латинская Америка,767245,214970,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,2.44,0.15,97.41,18.28,8.28,0.37,0.2,0.43,0.000767245,556772.2999999999,9.324
89,Haiti,Латинская Америка,8308504,27750,299.4,6.38,-3.4,73.45,1600.0,52.9,16.9,28.3,11.61,60.09,36.44,12.17,0.28,0.2,0.52,0.008308504,71872.5,775.4459999999999
90,Honduras,Латинская Америка,7326496,112090,65.4,0.73,-1.99,29.32,2600.0,76.2,67.5,9.55,3.22,87.23,28.24,5.28,0.14,0.31,0.55,0.007326496,290313.1,169.386
91,Hong Kong,Азия,6940432,1092,6355.7,67.12,5.24,2.97,28800.0,93.5,546.7,5.05,1.01,93.94,7.29,6.29,0.0,0.09,0.91,0.006940432,2828.2799999999997,16461.263
92,Hungary,ВОСТОЧНАЯ ЕВРОПА,9981334,93030,107.3,0.0,0.86,8.57,13900.0,99.4,336.2,50.09,2.06,47.85,9.72,13.11,0.04,0.31,0.65,0.009981334,240947.69999999998,277.907
93,Iceland,Западная Европа,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,13.64,6.72,0.09,0.15,0.76,0.000299388,266770.0,7.510999999999999
94,India,Азия,1095351995,3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,22.01,8.18,0.19,0.28,0.54,1.095351995,8514858.1,862.9879999999999
95,Indonesia,Азия,245452739,1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,20.34,6.25,0.13,0.46,0.41,0.245452739,4971349.6,331.261
96,Iran,Азия,68688433,1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,17.0,5.55,0.12,0.42,0.46,0.068688433,4268320.0,108.003
97,Iraq,Ближний Восток,26783383,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,31.98,5.37,0.07,0.67,0.26,0.026783383,1132016.48,158.767
98,Ireland,Западная Европа,4062235,70280,57.8,2.06,4.99,5.39,29600.0,98.0,500.5,15.2,0.03,84.77,14.45,7.82,0.05,0.46,0.49,0.004062235,182025.19999999998,149.702
99,Isle of Man,Западная Европа,75441,572,131.9,27.97,5.36,5.93,21000.0,,676.0,9.0,0.0,91.0,11.05,11.19,0.01,0.13,0.86,7.5441e-05,1481.48,341.621
100,Israel,Ближний Восток,6352117,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,16.39,4.17,79.44,17.97,6.18,0.03,0.32,0.66,0.006352117,53794.299999999996,792.0219999999999
101,Italy,Западная Европа,58133509,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,8.72,10.4,0.02,0.29,0.69,0.058133509,780185.7,499.86999999999995
102,Jamaica,Латинская Америка,2758124,10991,250.9,9.3,-4.92,12.36,3900.0,87.9,124.0,16.07,10.16,73.77,20.82,6.52,0.05,0.34,0.62,0.002758124,28466.69,649.831
103,Japan,Азия,127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,9.37,9.16,0.02,0.26,0.72,0.127463611,978592.6499999999,873.8659999999999
104,Jersey,Западная Европа,91084,116,785.2,60.34,2.76,5.24,24800.0,,811.3,0.0,0.0,100.0,9.3,9.28,0.05,0.02,0.93,9.1084e-05,300.44,2033.668
105,Jordan,Ближний Восток,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,21.25,2.65,0.03,0.29,0.68,0.00590676,239057.0,165.76
106,Kazakhstan,ex-USSR,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,16.0,9.42,0.07,0.39,0.55,0.015233244,7037807.0,14.503999999999998
107,Kenya,Южная Африка,34707817,582650,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,8.08,0.98,90.94,39.72,14.02,0.16,0.19,0.65,0.034707817,1509063.5,154.364
108,Kiribati,ОКЕАНИЯ,105432,811,130.0,140.94,0.0,48.52,800.0,,42.7,2.74,50.68,46.58,30.65,8.26,0.09,0.24,0.67,0.000105432,2100.49,336.7
109,"Korea, North",Азия,23113019,120540,191.8,2.07,0.0,24.04,1300.0,99.0,42.4,20.76,2.49,76.75,15.54,7.13,0.3,0.34,0.36,0.023113019,312198.6,496.762
110,"Korea, South",Азия,48846823,98480,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,17.18,1.95,80.87,10.0,5.85,0.03,0.4,0.56,0.048846823,255063.19999999998,1284.6399999999999
111,Kuwait,Ближний Восток,2418393,17820,135.7,2.8,14.18,9.95,19000.0,83.5,211.0,0.73,0.11,99.16,21.94,2.41,0.0,0.48,0.52,0.002418393,46153.799999999996,351.46299999999997
112,Kyrgyzstan,ex-USSR,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,22.8,7.08,0.35,0.21,0.44,0.005213898,514115.0,68.117
113,Laos,Азия,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,35.49,11.55,0.46,0.29,0.26,0.006368481,613312.0,69.67099999999999
114,Latvia,Прибалтика,2274735,64589,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,9.24,13.66,0.04,0.26,0.7,0.002274735,167285.50999999998,91.168
115,Lebanon,Ближний Восток,3874050,10400,372.5,2.16,0.0,24.52,4800.0,87.4,255.6,16.62,13.98,69.4,18.52,6.21,0.12,0.21,0.67,0.00387405,26936.0,964.775
116,Lesotho,Южная Африка,2022331,30355,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,24.75,28.71,0.16,0.44,0.39,0.002022331,78619.45,172.49399999999997
117,Liberia,Южная Африка,3042004,111370,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,44.77,23.1,0.77,0.05,0.18,0.003042004,288448.3,70.707
118,Libya,СЕВЕРНАЯ АФРИКА,5900754,1759540,3.4,0.1,0.0,24.6,6400.0,82.6,127.1,1.03,0.19,98.78,26.49,3.48,0.08,0.5,0.42,0.005900754,4557208.6,8.806
119,Liechtenstein,Западная Европа,33987,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,10.21,7.18,0.06,0.39,0.55,3.3987e-05,414.4,550.116
120,Lithuania,Прибалтика,3585906,65200,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,8.75,10.98,0.06,0.32,0.62,0.003585906,168868.0,142.45
121,Luxembourg,Западная Европа,474413,2586,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,11.94,8.41,0.01,0.13,0.86,0.000474413,6697.74,475.265
122,Macau,Азия,453125,28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,8.48,4.47,0.0,0.07,0.93,0.000453125,72.52,41913.97
123,Macedonia,ВОСТОЧНАЯ ЕВРОПА,2050554,25333,80.9,0.0,-1.45,10.09,6700.0,,260.0,22.26,1.81,75.93,12.02,8.77,0.12,0.32,0.56,0.002050554,65612.47,209.531
124,Madagascar,Южная Африка,18595469,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,41.41,11.11,0.28,0.16,0.56,0.018595469,1520433.5999999999,82.103
125,Malawi,Южная Африка,13013926,118480,109.8,0.0,0.0,103.32,600.0,62.7,7.9,23.38,1.49,75.13,43.13,19.33,0.34,0.16,0.5,0.013013926,306863.2,284.382
126,Malaysia,Азия,24385858,329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,22.86,5.05,0.08,0.48,0.44,0.024385858,854052.5,191.66
127,Maldives,Азия,359008,300,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,34.81,7.06,0.2,0.18,0.62,0.000359008,777.0,3099.453
128,Mali,Южная Африка,11716829,1240000,9.5,0.0,-0.33,116.79,900.0,46.4,6.4,3.82,0.03,96.15,49.82,16.89,0.45,0.17,0.38,0.011716829,3211600.0,24.604999999999997
129,Malta,Западная Европа,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,10.22,8.1,0.03,0.23,0.74,0.000400214,818.4399999999999,3280.2349999999997
130,Marshall Islands,ОКЕАНИЯ,60422,11854,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,16.67,38.89,44.44,33.05,4.78,0.32,0.15,0.53,6.0422e-05,30701.859999999997,13.208999999999998
131,Martinique,Латинская Америка,436131,1100,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,13.74,6.48,0.06,0.11,0.83,0.000436131,2849.0,1026.935
132,Mauritania,Южная Африка,3177388,1030700,3.1,0.07,0.0,70.89,1800.0,41.7,12.9,0.48,0.01,99.51,40.99,12.16,0.25,0.29,0.46,0.003177388,2669513.0,8.029
133,Mauritius,Южная Африка,1240827,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,15.43,6.86,0.06,0.3,0.64,0.001240827,5283.599999999999,1575.4969999999998
